"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N"
"0500000US51139","Page County, Virginia","23709","497","23212","22518","21870","436","49","115","8","40","694","645","120","307","63","5","128","5","4","1","0","3","0","0","6","3","0","44","13","17","2","3","0","0","0","8","0","0","1","0","0","0","0","0","0","0","0","0","5","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51141","Patrick County, Virginia","17608","567","17041","16550","15577","831","24","43","3","72","491","464","135","213","20","6","74","3","2","0","0","0","0","0","2","9","0","27","20","0","0","2","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51143","Pittsylvania County, Virginia","60501","1712","58789","57158","44277","12354","93","289","17","128","1631","1545","586","594","88","5","176","55","3","1","29","0","0","0","6","0","2","86","68","0","2","0","8","2","2","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51145","Powhatan County, Virginia","30333","792","29541","28317","25497","2477","59","167","18","99","1224","1169","251","469","157","15","252","10","6","0","0","3","0","1","5","0","0","52","37","0","0","0","4","0","0","6","0","0","0","2","1","2","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"0500000US51147","Prince Edward County, Virginia","21849","1088","20761","19997","10513","9194","33","196","0","61","764","721","290","162","40","9","75","103","5","1","29","0","0","0","7","0","0","37","23","0","4","0","2","0","2","2","0","0","0","0","0","3","0","0","0","0","0","1","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0"
"0500000US51149","Prince George County, Virginia","43010","4344","38666","36731","22662","12694","221","822","141","191","1935","1777","588","426","267","14","212","88","61","24","45","0","0","6","37","9","0","139","54","28","0","12","13","3","2","6","1","0","8","3","2","0","6","0","0","0","0","1","13","4","4","0","1","0","0","2","0","0","0","2","0","0","0","0","6","6","0","0","0","0","0","0","0"
"0500000US51153","Prince William County, Virginia","482204","121524","360680","334459","185048","94939","745","49836","507","3384","26221","24255","6546","3141","8662","274","2467","792","1076","93","677","50","1","15","236","207","18","1749","736","449","40","131","104","8","18","147","35","0","31","6","19","7","16","2","0","0","0","0","193","106","1","50","17","5","0","8","0","0","0","0","4","0","2","0","24","24","0","0","0","0","0","0","0"
"0500000US51155","Pulaski County, Virginia","33800","704","33096","31678","29716","1633","49","177","3","100","1418","1346","493","531","89","12","178","18","2","3","14","0","0","0","3","3","0","60","39","3","0","4","0","6","0","4","3","0","0","0","0","0","1","0","0","0","0","0","12","0","0","4","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51157","Rappahannock County, Virginia","7348","289","7059","6752","6444","198","17","63","0","30","307","285","46","117","37","6","67","3","3","5","0","0","0","0","1","0","0","12","10","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","10","2","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51159","Richmond County, Virginia","8923","597","8326","8046","5564","2419","16","42","0","5","280","249","104","51","30","2","20","6","11","0","8","1","1","0","15","0","0","27","12","1","3","4","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","4","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
